Master_Joint_Numbers,Target_Joint_Numbers,Match_Type,Confidence,Master_Total_Length,Target_Total_Length,Length_Difference,Master_Start_Distance,Target_Start_Distance,Is_Split,Is_Merge
266,2680,1-to-1,0.972,17.924,17.85,0.074,4102.28,4071.84,False,False
267,2690,1-to-1,0.992,18.088,18.11,0.022,4120.204,4089.69,False,False
268,2700,1-to-1,0.983,18.126,18.08,0.046,4138.292,4107.8,False,False
269,2710,1-to-1,0.973,18.154,18.08,0.074,4156.418,4125.88,False,False
270,2720,1-to-1,0.984,11.748,11.72,0.028,4174.572,4143.96,False,False
271,2730,1-to-1,0.987,11.172,11.15,0.022,4186.32,4155.68,False,False
272,2740,1-to-1,0.978,13.134,13.09,0.044,4197.492,4166.83,False,False
273,2750,1-to-1,0.98,18.074,18.02,0.054,4210.626,4179.92,False,False
274,2760,1-to-1,0.99,18.188,18.16,0.028,4228.7,4197.94,False,False
275,2770,1-to-1,0.969,18.224,18.14,0.084,4246.888,4216.1,False,False
276,2780,1-to-1,0.953,18.218,18.09,0.128,4265.112,4234.24,False,False
277,2790,1-to-1,0.987,18.196,18.16,0.036,4283.33,4252.33,False,False
278,2800,1-to-1,0.977,18.132,18.07,0.062,4301.526,4270.49,False,False
279,2810,1-to-1,0.958,18.184,18.07,0.114,4319.658,4288.56,False,False
280,2820,1-to-1,0.964,18.198,18.1,0.098,4337.842,4306.63,False,False
281,2830,1-to-1,0.964,18.208,18.11,0.098,4356.04,4324.73,False,False
282,2840,1-to-1,0.97,18.032,17.95,0.082,4374.248,4342.84,False,False
283,2850,1-to-1,0.967,18.03,17.94,0.09,4392.28,4360.79,False,False
284,2860,1-to-1,0.975,18.178,18.11,0.068,4410.31,4378.73,False,False
285,2870,1-to-1,0.978,18.18,18.12,0.06,4428.488,4396.84,False,False
286,2880,1-to-1,0.972,18.206,18.13,0.076,4446.668,4414.96,False,False
287,2890,1-to-1,0.976,18.174,18.11,0.064,4464.874,4433.09,False,False
288,2900,1-to-1,0.973,18.064,17.99,0.074,4483.048,4451.2,False,False
289,2910,1-to-1,0.965,18.164,18.07,0.094,4501.112,4469.19,False,False
290,2920,1-to-1,0.97,18.172,18.09,0.082,4519.276,4487.26,False,False
291,2930,1-to-1,0.967,15.908,15.83,0.078,4537.448,4505.35,False,False
292,2940,1-to-1,0.973,17.19,17.12,0.07,4553.356,4521.18,False,False
293,2950,1-to-1,0.975,18.158,18.09,0.068,4570.546,4538.3,False,False
294,2960,1-to-1,0.978,18.19,18.13,0.06,4588.704,4556.39,False,False
295,2970,1-to-1,0.973,17.802,17.73,0.072,4606.894,4574.52,False,False
296,2980,1-to-1,0.971,18.188,18.11,0.078,4624.696,4592.25,False,False
297,2990,1-to-1,0.971,18.178,18.1,0.078,4642.884,4610.36,False,False
298,3000,1-to-1,0.972,18.116,18.04,0.076,4661.062,4628.46,False,False
299,3010,1-to-1,0.972,18.196,18.12,0.076,4679.178,4646.5,False,False
300,3020,1-to-1,0.966,18.172,18.08,0.092,4697.374,4664.62,False,False
301,3030,1-to-1,0.962,18.074,17.97,0.104,4715.546,4682.7,False,False
302,3040,1-to-1,0.966,18.192,18.1,0.092,4733.62,4700.67,False,False
303,3050,1-to-1,0.971,18.208,18.13,0.078,4751.812,4718.77,False,False
304,3060,1-to-1,0.97,18.212,18.13,0.082,4770.02,4736.9,False,False
305,3070,1-to-1,0.967,18.02,17.93,0.09,4788.232,4755.03,False,False
306,3080,1-to-1,0.959,18.202,18.09,0.112,4806.252,4772.96,False,False
307,3090,1-to-1,0.968,16.7,16.62,0.08,4824.454,4791.05,False,False
308,3100,1-to-1,0.969,18.184,18.1,0.084,4841.154,4807.67,False,False
309,3110,1-to-1,0.969,18.044,17.96,0.084,4859.338,4825.77,False,False
310,3120,1-to-1,0.967,18.21,18.12,0.09,4877.382,4843.73,False,False
311,3130,1-to-1,0.976,18.036,17.97,0.066,4895.592,4861.85,False,False
312,3140,1-to-1,0.968,18.186,18.1,0.086,4913.628,4879.82,False,False
313,3150,1-to-1,0.965,18.206,18.11,0.096,4931.814,4897.92,False,False
314,3160,1-to-1,0.986,18.098,18.06,0.038,4950.02,4916.03,False,False
